Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,Cluster,,,,,,,,,,,
1,3,3366,2884,2431,977,167,1104,1,,276,1,,,,,,116564592.4,416416928,116564592.4
2,3,12238,7108,6235,1093,2328,2079,2,,277,2,,,,,,977319873.7,280104531.4,280104531.4
1,3,49063,3965,4252,5970,1041,1404,2,,278,2,,,,,,684217319.2,67042987.36,67042987.36
1,3,25767,3613,2013,10303,314,1384,2,,279,2,,,,,,367064316,99630797.69,99630797.69
1,3,68951,4411,12609,8692,751,2406,2,,280,2,,,,,,1171844948,62825275.88,62825275.88
1,3,40254,640,3600,1042,436,18,1,,281,2,,,,,,592761190.8,30684327.1,30684327.1
1,3,7149,2247,1242,1619,1226,128,1,,282,1,,,,,,260369648.4,1721403977,260369648.4
1,3,15354,2102,2828,8366,386,1027,2,,283,1,,,,,,220610387.6,420445298.8,220610387.6
1,3,16260,594,1296,848,445,258,1,,284,1,,,,,,1172258378,3798402220,1172258378
1,3,42786,286,471,1388,32,22,2,,285,1,,,,,,183437300.2,1088522956,183437300.2
1,3,2708,2160,2642,502,965,1522,1,,286,2,,,,,,960294170.2,52083906.45,52083906.45
1,3,6022,3354,3261,2507,212,686,1,,287,2,,,,,,524527284.7,128253102.5,128253102.5
1,3,2838,3086,4329,3838,825,1060,1,,288,2,,,,,,565657915.5,137625709.1,137625709.1
2,2,3996,11103,12469,902,5952,741,2,,289,1,,,,,,271389046.9,1297599003,271389046.9
1,2,21273,2013,6550,909,811,1854,1,,290,2,,,,,,1224022718,70025854.25,70025854.25
2,2,7588,1897,5234,417,2208,254,2,,291,2,,,,,,974823591.2,32663521.97,32663521.97
1,2,19087,1304,3643,3045,710,898,1,,292,2,,,,,,1150362467,47581590.01,47581590.01
2,2,8090,3199,6986,1455,3712,531,2,,293,2,,,,,,1033915877,87933081.37,87933081.37
2,2,6758,4560,9965,934,4538,1037,2,,294,2,,,,,,309080036.8,198934953.7,198934953.7
1,2,444,879,2060,264,290,259,2,,295,2,,,,,,894887471.8,20738075.81,20738075.81
2,2,16448,6243,6360,824,2662,2005,2,,296,2,,,,,,395933385,160107915.4,160107915.4
2,2,5283,13316,20399,1809,8752,172,1,,297,2,,,,,,823054829,6151679.936,6151679.936
2,2,2886,5302,9785,364,6236,555,1,,298,2,,,,,,879354553.5,13881994.1,13881994.1
2,2,2599,3688,13829,492,10069,59,2,,299,2,,,,,,1410730308,115899187.1,115899187.1
2,2,161,7460,24773,617,11783,2410,1,,300,2,,,,,,421715148.7,81972169.22,81972169.22
2,2,243,12939,8852,799,3909,211,1,,301,2,,,,,,1078175383,274375496.3,274375496.3
2,2,6468,12867,21570,1840,7558,1543,2,,302,2,,,,,,1123723716,46678824.86,46678824.86
1,2,17327,2374,2842,1149,351,925,1,,303,2,,,,,,1208648371,125921487.4,125921487.4
1,2,6987,1020,3007,416,257,656,2,,304,2,,,,,,1572537741,451579336.9,451579336.9
2,2,918,20655,13567,1465,6846,806,1,,305,2,,,,,,1283152059,125650095.3,125650095.3
1,2,7034,1492,2405,12569,299,1117,1,,306,2,,,,,,1019494834,283555207.5,283555207.5
1,2,29635,2335,8280,3046,371,117,2,,307,2,,,,,,469743440.5,126974922,126974922
2,2,2137,3737,19172,1274,17120,142,2,,308,2,,,,,,977553560.2,49953548.76,49953548.76
1,2,9784,925,2405,4447,183,297,1,,309,2,,,,,,1364533726,343767995.8,343767995.8
1,2,10617,1795,7647,1483,857,1233,1,,310,2,,,,,,977597165.7,149895343.2,149895343.2
2,2,1479,14982,11924,662,3891,3508,1,,311,1,,,,,,107316539.7,486046097.9,107316539.7
1,2,7127,1375,2201,2679,83,1059,1,,312,2,,,,,,1446002917,375412628.6,375412628.6
1,2,1182,3088,6114,978,821,1637,2,,313,2,,,,,,804805427.8,58677807.13,58677807.13
1,2,11800,2713,3558,2121,706,51,2,,314,2,,,,,,711769652.1,25011208.66,25011208.66
2,2,9759,25071,17645,1128,12408,1625,2,,315,2,,,,,,1229988965,174442395.1,174442395.1
1,2,1774,3696,2280,514,275,834,2,,316,2,,,,,,955597671.5,52225319.43,52225319.43
1,2,9155,1897,5167,2714,228,1113,1,,317,2,,,,,,1267401367,60965088.28,60965088.28
1,2,15881,713,3315,3703,1470,229,1,,318,2,,,,,,673179427.5,41514851.33,41514851.33
1,2,13360,944,11593,915,1679,573,2,,319,2,,,,,,1073692765,598194943.8,598194943.8
1,2,25977,3587,2464,2369,140,1092,1,,320,2,,,,,,1272870548,78976199.73,78976199.73
1,2,32717,16784,13626,60869,1272,5609,1,,321,2,,,,,,796331704.8,25910396.25,25910396.25
1,2,4414,1610,1431,3498,387,834,1,,322,2,,,,,,517757685.8,104100571.1,104100571.1
1,2,542,899,1664,414,88,522,1,,323,2,,,,,,593507190.3,67767558.15,67767558.15
1,2,16933,2209,3389,7849,210,1534,2,,324,1,,,,,,211837707.3,362454686.4,211837707.3
1,2,5113,1486,4583,5127,492,739,2,,325,1,,,,,,3065034108,4229105980,3065034108
1,2,9790,1786,5109,3570,182,1043,2,,326,2,,,,,,1118147404,69995596.51,69995596.51
2,2,11223,14881,26839,1234,9606,1102,2,,327,2,,,,,,1409739649,119409485.5,119409485.5
1,2,22321,3216,1447,2208,178,2602,1,,328,2,,,,,,454540921.7,144976877.5,144976877.5
2,2,8565,4980,67298,131,38102,1215,2,,329,2,,,,,,1023344195,43182882.17,43182882.17
2,2,16823,928,2743,11559,332,3486,1,,330,2,,,,,,760123908.2,30088310.49,30088310.49
2,2,27082,6817,10790,1365,4111,2139,2,,331,2,,,,,,958488743.7,526453549.2,526453549.2
1,2,13970,1511,1330,650,146,778,1,,332,2,,,,,,322429036.6,261949449.3,261949449.3
1,2,9351,1347,2611,8170,442,868,1,,333,2,,,,,,5262665142,4820034447,4820034447
1,2,3,333,7021,15601,15,550,1,,334,2,,,,,,521576298.1,220624092.3,220624092.3
1,2,2617,1188,5332,9584,573,1942,1,,335,1,,,,,,108637207.9,387517490.4,108637207.9
2,3,381,4025,9670,388,7271,1371,2,,336,2,,,,,,646815156.4,99575583.05,99575583.05
2,3,2320,5763,11238,767,5162,2158,2,,337,2,,,,,,815033601.4,79580152.95,79580152.95
1,3,255,5758,5923,349,4595,1328,1,,338,2,,,,,,1440716474,266595382.1,266595382.1
2,3,1689,6964,26316,1456,15469,37,1,,339,2,,,,,,1188366130,108101859.5,108101859.5
1,3,3043,1172,1763,2234,217,379,1,,340,2,,,,,,1314619622,88446660.94,88446660.94
1,3,1198,2602,8335,402,3843,303,1,,341,2,,,,,,1151314395,58446950.91,58446950.91
2,3,2771,6939,15541,2693,6600,1115,2,,342,2,,,,,,1310850534,71225796.75,71225796.75
2,3,27380,7184,12311,2809,4621,1022,2,,343,2,,,,,,1580279104,554710357.7,554710357.7
1,3,3428,2380,2028,1341,1184,665,2,,344,2,,,,,,1215736870,80232788.23,80232788.23
2,3,5981,14641,20521,2005,12218,445,2,,345,2,,,,,,1259351672,57811460.21,57811460.21
1,3,3521,1099,1997,1796,173,995,1,,346,2,,,,,,1127260370,109121013,109121013
2,3,1210,10044,22294,1741,12638,3137,2,,347,1,,,,,,90878176.61,409425188.8,90878176.61
1,3,608,1106,1533,830,90,195,1,,348,2,,,,,,1172126072,62852327.25,62852327.25
2,3,117,6264,21203,228,8682,1111,2,,349,2,,,,,,1101647980,350447084.1,350447084.1
1,3,14039,7393,2548,6386,1333,2341,2,,350,2,,,,,,1187275648,75223805.54,75223805.54
1,3,190,727,2012,245,184,127,2,,351,2,,,,,,1438401320,392782014.7,392782014.7
1,3,22686,134,218,3157,9,548,1,,352,2,,,,,,1398805030,116481301.2,116481301.2
2,3,37,1275,22272,137,6747,110,2,,353,2,,,,,,1446578311,289210493.1,289210493.1
1,3,759,18664,1660,6114,536,4100,1,,354,2,,,,,,529711373.7,90289002.37,90289002.37
1,3,796,5878,2109,340,232,776,1,,355,2,,,,,,1432755714,122206583.2,122206583.2
1,3,19746,2872,2006,2601,468,503,1,,356,2,,,,,,372033803.5,305255639.9,305255639.9
1,3,4734,607,864,1206,159,405,1,,357,2,,,,,,1515321992,314964010.1,314964010.1
1,3,2121,1601,2453,560,179,712,1,,358,2,,,,,,1381942729,304281103.1,304281103.1
1,3,4627,997,4438,191,1335,314,2,,359,2,,,,,,1323998091,93113912.45,93113912.45
1,3,2615,873,1524,1103,514,468,1,,360,2,,,,,,380016792.8,181357036.1,181357036.1
2,3,4692,6128,8025,1619,4515,3105,2,,361,2,,,,,,1145237998,84465797.88,84465797.88
1,3,9561,2217,1664,1173,222,447,1,,362,2,,,,,,1275445688,83612836.72,83612836.72
1,3,3477,894,534,1457,252,342,1,,363,2,,,,,,1096505338,45430786.46,45430786.46
1,3,22335,1196,2406,2046,101,558,1,,364,2,,,,,,1262252473,90323847.2,90323847.2
1,3,6211,337,683,1089,41,296,2,,365,2,,,,,,995529505.7,24805759.99,24805759.99
2,3,39679,3944,4955,1364,523,2235,1,,366,2,,,,,,831892451.2,54642157.32,54642157.32
1,3,20105,1887,1939,8164,716,790,2,,367,2,,,,,,1222122252,94952424.53,94952424.53
1,3,3884,3801,1641,876,397,4829,2,,368,2,,,,,,330814985.4,257525475.1,257525475.1
2,3,15076,6257,7398,1504,1916,3113,2,,369,2,,,,,,1067012340,83062852.8,83062852.8
1,3,6338,2256,1668,1492,311,686,1,,370,1,,,,,,115196747.8,1027783339,115196747.8
1,3,5841,1450,1162,597,476,70,1,,371,2,,,,,,371269898.9,227571398.3,227571398.3
2,3,3136,8630,13586,5641,4666,1426,1,,372,2,,,,,,1162735394,84982050.04,84982050.04
1,3,38793,3154,2648,1034,96,1242,1,,373,2,,,,,,467740816.2,63890816.06,63890816.06
1,3,3225,3294,1902,282,68,1114,2,,374,2,,,,,,1004732918,53320776.81,53320776.81
2,3,4048,5164,10391,130,813,179,1,,375,2,,,,,,1063652900,67948343.57,67948343.57
1,3,28257,944,2146,3881,600,270,1,,376,2,,,,,,1058043564,86955584.6,86955584.6
1,3,17770,4591,1617,9927,246,532,2,,377,1,,,,,,150287021.7,991645254.7,150287021.7
1,3,34454,7435,8469,2540,1711,2893,2,,378,2,,,,,,1192972767,71286142.3,71286142.3
1,3,1821,1364,3450,4006,397,361,2,,379,2,,,,,,1046594957,33079217.9,33079217.9
1,3,10683,21858,15400,3635,282,5120,1,,380,1,,,,,,203920127.7,466958267.2,203920127.7
1,3,11635,922,1614,2583,192,1068,2,,381,2,,,,,,430807166.9,194623549.5,194623549.5
1,3,1206,3620,2857,1945,353,967,1,,382,1,,,,,,33998723.34,719304949.2,33998723.34
1,3,20918,1916,1573,1960,231,961,2,,383,2,,,,,,1254226522,76849309.25,76849309.25
1,3,9785,848,1172,1677,200,406,1,,384,2,,,,,,830146152,383150136.5,383150136.5
1,3,9385,1530,1422,3019,227,684,1,,385,2,,,,,,738630082.7,74913982.27,74913982.27
1,3,3352,1181,1328,5502,311,1000,2,,386,2,,,,,,1288160770,77018573.63,77018573.63
1,3,2647,2761,2313,907,95,1827,1,,387,2,,,,,,372975517.5,222785831.9,222785831.9
1,3,518,4180,3600,659,122,654,2,,388,2,,,,,,846012036,70327688.2,70327688.2
1,3,23632,6730,3842,8620,385,819,1,,389,2,,,,,,839896088.7,60274218.69,60274218.69
1,3,12377,865,3204,1398,149,452,1,,390,2,,,,,,1186734611,91818786.71,91818786.71
1,3,9602,1316,1263,2921,841,290,1,,391,2,,,,,,1225252447,74426885.17,74426885.17
2,3,4515,11991,9345,2644,3378,2213,1,,392,2,,,,,,1332834149,82722911.9,82722911.9
1,3,11535,1666,1428,6838,64,743,2,,393,1,,,,,,200392363.2,307117062.1,200392363.2
1,3,11442,1032,582,5390,74,247,2,,394,2,,,,,,689554586.7,65620984.7,65620984.7
1,3,9612,577,935,1601,469,375,1,,395,2,,,,,,832333212.1,61162271.36,61162271.36
1,3,4446,906,1238,3576,153,1014,1,,396,2,,,,,,980785749.4,67059822.27,67059822.27
1,3,27167,2801,2128,13223,92,1902,2,,397,2,,,,,,719659646.8,89707283.11,89707283.11
1,3,26539,4753,5091,220,10,340,1,,398,2,,,,,,750729200.2,93861291.37,93861291.37
1,3,25606,11006,4604,127,632,288,2,,399,2,,,,,,863391620,73928027.23,73928027.23
1,3,18073,4613,3444,4324,914,715,1,,400,2,,,,,,1132391066,79345030.4,79345030.4
1,3,6884,1046,1167,2069,593,378,1,,401,1,,,,,,237799396.1,531267322.8,237799396.1
1,3,25066,5010,5026,9806,1092,960,2,,402,1,,,,,,176465813,365834457.9,176465813
2,3,7362,12844,18683,2854,7883,553,1,,403,1,,,,,,176673261.3,366088419.3,176673261.3
2,3,8257,3880,6407,1646,2730,344,1,,404,2,,,,,,381100632.5,127584987.9,127584987.9
1,3,8708,3634,6100,2349,2123,5137,2,,405,2,,,,,,994138846.9,63940249.08,63940249.08
1,3,6633,2096,4563,1389,1860,1892,1,,406,1,,,,,,170900363.5,357523870.8,170900363.5
1,3,2126,3289,3281,1535,235,4365,2,,407,2,,,,,,904626401.9,209470995.5,209470995.5
1,3,97,3605,12400,98,2970,62,2,,408,2,,,,,,807443909.3,3819262.887,3819262.887
1,3,4983,4859,6633,17866,912,2435,1,,409,2,,,,,,809115425.7,31903956.6,31903956.6
1,3,5969,1990,3417,5679,1135,290,2,,410,2,,,,,,946574080.4,25608364.45,25608364.45
2,3,7842,6046,8552,1691,3540,1874,1,,411,2,,,,,,1246541910,82159642.42,82159642.42
2,3,4389,10940,10908,848,6728,993,1,,412,2,,,,,,1326054504,93128347.66,93128347.66
1,3,5065,5499,11055,364,3485,1063,2,,413,2,,,,,,1100777628,255778182.3,255778182.3
2,3,660,8494,18622,133,6740,776,2,,414,2,,,,,,974826435.9,44012567.73,44012567.73
1,3,8861,3783,2223,633,1580,1521,2,,415,2,,,,,,801420352,6456749.283,6456749.283
1,3,4456,5266,13227,25,6818,1393,1,,416,2,,,,,,1011032278,76104945.67,76104945.67
2,3,17063,4847,9053,1031,3415,1784,1,,417,2,,,,,,975553082.8,26753803.84,26753803.84
1,3,26400,1377,4172,830,948,1218,1,,418,2,,,,,,1331654814,208134833.3,208134833.3
2,3,17565,3686,4657,1059,1803,668,2,,419,2,,,,,,841361483.9,38368183.99,38368183.99
2,3,16980,2884,12232,874,3213,249,1,,420,2,,,,,,1042443723,68061656.76,68061656.76
1,3,11243,2408,2593,15348,108,1886,2,,421,2,,,,,,392674195.4,91377093.32,91377093.32
1,3,13134,9347,14316,3141,5079,1894,1,,422,1,,,,,,222517669.2,374507425.4,222517669.2
1,3,31012,16687,5429,15082,439,1163,2,,423,2,,,,,,415400705.5,106846840.2,106846840.2
1,3,3047,5970,4910,2198,850,317,1,,424,2,,,,,,418240735.8,111805745.6,111805745.6
1,3,8607,1750,3580,47,84,2501,2,,425,2,,,,,,784719520.5,219388343.8,219388343.8
1,3,3097,4230,16483,575,241,2080,1,,426,2,,,,,,530850318.2,99611356.4,99611356.4
1,3,8533,5506,5160,13486,1377,1498,1,,427,1,,,,,,176754105.9,836319340.1,176754105.9
1,3,21117,1162,4754,269,1328,395,1,,428,2,,,,,,1111551473,35722359.32,35722359.32
1,3,1982,3218,1493,1541,356,1449,1,,429,2,,,,,,879543560,47600572.03,47600572.03
1,3,16731,3922,7994,688,2371,838,2,,430,2,,,,,,1155396747,119169864.8,119169864.8
1,3,29703,12051,16027,13135,182,2204,1,,431,2,,,,,,818860120.9,131531506.6,131531506.6
1,3,39228,1431,764,4510,93,2346,1,,432,2,,,,,,346176534.4,204897592.1,204897592.1
2,3,14531,15488,30243,437,14841,1867,2,,433,2,,,,,,1267846669,84944424.52,84944424.52
1,3,10290,1981,2232,1038,168,2125,2,,434,2,,,,,,419759204.2,83326524.66,83326524.66
1,3,2787,1698,2510,65,477,52,2,,435,1,,,,,,128116399.2,719271533.3,128116399.2
,,,,,,,,,,436,1,,,,,,189187670.5,1056400280,189187670.5
,,,,,,,,,,437,2,,,,,,1048732989,817176724.5,817176724.5
,,,,,,,,,,438,2,,,,,,794766150.3,57615567.3,57615567.3
,,,,,,,,,,439,2,,,,,,1233169678,75198312.72,75198312.72
